VEL,D20140322,X,Y,LON,LAT,Downslope ,Local Upsl,Upslope Cu,Local Curv,Minimal Cu,Cross-Sect,Tangential,Plan Curva,Flow Line ,Aspect,General Cu,Total Curv,Slope,Maximal Cu,Longitudin,Profile Cu,Local Down,cat,twi,TRI,tpi,spi,dem_randaz,curvature,ELEVATION,COHERENCE
3.4,1.9,497077.208,4193370.283,14.96676035,37.88783106,-0.11438,-0.14013,-0.05018,-0.17604,-0.005,0.00019,0.00002,0.00018,0.00001,6.18137,-0.00763,0.00002,0.109,0.00118,-0.00782,-0.00377,-0.10864,66.04066,3.26203,2.71009,-3.25148,157.01938,660.259,-0.00763,705.9,0.68
1.3,-3.8,497140.0553,4193381.692,14.96747504,37.88793409,-0.04793,0.0224,0.04516,-0.01435,-0.00128,0.00088,0.00089,0.00828,-0.00001,5.82765,-0.00044,0,0.10714,0.00106,-0.00132,-0.00109,-0.08611,66.1335,3.25159,2.72953,-0.72213,159.11441,661.345,-0.00044,712.5,0.68
1.4,-3.8,497141.1317,4193381.889,14.96748728,37.88793587,-0.04793,0.0224,0.04516,-0.01435,-0.00128,0.00088,0.00089,0.00828,-0.00001,5.82765,-0.00044,0,0.10714,0.00106,-0.00132,-0.00109,-0.08611,66.1335,3.25159,2.72953,-0.72213,159.11441,661.345,-0.00044,711.8,0.72
0.7,-3.5,496984.3168,4193355.498,14.965704,37.8876975,-0.04598,-0.01563,-0.02591,0.00242,-0.00108,0.00004,-0.00016,-0.00129,-0.00002,0.17786,0.00009,0,0.12773,0.00112,0.00005,0.00021,-0.01796,66.38873,5.33806,3.14335,-2.62457,19.90273,663.9,0.00009,708.5,0.81
-2.2,-11.8,497039.0847,4193365.453,14.96632681,37.88778741,-0.1288,-0.01106,-0.00742,-0.13062,-0.00417,0.00101,0.00051,0.0029,-0.00004,6.27238,-0.0052,0.00001,0.17733,0.00157,-0.00621,-0.00298,-0.20431,66.17819,11.03796,4.67181,-3.12072,-90.86111,661.697,-0.0052,706.7,0.68
2.5,2.2,497061.5692,4193369.539,14.9665825,37.88782431,-0.14153,-0.21094,-0.0816,-0.25154,-0.00554,-0.00114,-0.00056,-0.00539,0,6.264,-0.01052,0.00002,0.10495,0.00028,-0.00937,-0.00461,-0.11436,66.01965,3.10125,2.84667,-3.82547,184.28961,659.996,-0.01052,706.7,0.67
1.8,-2.4,497068.868,4193370.866,14.9666655,37.88783629,-0.13406,-0.17873,-0.0658,-0.22772,-0.00545,-0.00059,-0.00028,-0.00255,0,6.1874,-0.00967,0.00002,0.10944,0.00062,-0.00908,-0.00447,-0.11736,66.0274,2.02836,2.87167,-3.56419,538.95862,660.087,-0.00967,706,0.74
0.5,-2.1,496948.0382,4193351.003,14.96529144,37.88765687,-0.02826,-0.00965,-0.03321,-0.00185,-0.00056,-0.00007,-0.00016,-0.00155,-0.00001,0.25442,-0.00002,0,0.10627,0.00056,0.00005,0.00015,-0.00654,66.46722,3.02362,2.6124,-2.31111,201.8755,664.676,-0.00002,709.2,0.79
0.3,-5.1,496966.1568,4193354.296,14.96549748,37.88768661,-0.0489,-0.0154,-0.03961,-0.03116,-0.00125,-0.00129,-0.00083,-0.00703,-0.00001,0.21514,-0.00134,0,0.11782,0.00058,-0.00005,0.00016,-0.01121,66.40927,11.04145,2.94102,-2.54693,-47.71791,664.054,-0.00134,709,0.81
0.7,-3.9,496966.8392,4193354.421,14.96550524,37.88768774,-0.0489,-0.0154,-0.03961,-0.03116,-0.00125,-0.00129,-0.00083,-0.00703,-0.00001,0.21514,-0.00134,0,0.11782,0.00058,-0.00005,0.00016,-0.01121,66.40927,11.04145,2.94102,-2.54693,-47.71791,664.054,-0.00134,708,0.8
0.7,-4.5,496983.7081,4193357.486,14.96569707,37.88771542,-0.04598,-0.01563,-0.02591,0.00242,-0.00108,0.00004,-0.00016,-0.00129,-0.00002,0.17786,0.00009,0,0.12773,0.00112,0.00005,0.00021,-0.01796,66.38873,5.33806,3.14335,-2.62457,19.90273,663.9,0.00009,708.4,0.8
1.4,-0.2,497007.8345,4193361.871,14.96597143,37.88775502,-0.1275,-0.05316,-0.05943,-0.12197,-0.00223,-0.00193,-0.00103,-0.00715,-0.00002,0.09709,-0.00511,0,0.14466,-0.00032,-0.00318,-0.00147,-0.19265,66.16868,11.03782,3.77279,-3.69786,-131.21693,661.611,-0.00511,708,0.69
1,-2.6,496947.4639,4193352.998,14.9652849,37.88767485,-0.02826,-0.00965,-0.03321,-0.00185,-0.00056,-0.00007,-0.00016,-0.00155,-0.00001,0.25442,-0.00002,0,0.10627,0.00056,0.00005,0.00015,-0.00654,66.46722,3.02362,2.6124,-2.31111,201.8755,664.676,-0.00002,709.1,0.78
0.6,-8,496997.2292,4193362.044,14.96585082,37.88775654,-0.11218,-0.0346,-0.04877,-0.08595,-0.00168,-0.0017,-0.001,-0.00716,-0.00002,0.21317,-0.00351,0,0.13976,-0.00008,-0.00181,-0.00073,-0.16195,66.19165,1.6859,3.60036,-3.58973,762.85431,661.866,-0.00351,708,0.74
1.8,-2.1,497007.1748,4193363.851,14.96596392,37.88777286,-0.1275,-0.05316,-0.05943,-0.12197,-0.00223,-0.00193,-0.00103,-0.00715,-0.00002,0.09709,-0.00511,0,0.14466,-0.00032,-0.00318,-0.00147,-0.19265,66.16868,11.03782,3.77279,-3.69786,-131.21693,661.611,-0.00511,707.8,0.73
1.8,-0.6,497020.4647,4193366.268,14.96611505,37.88779469,-0.13045,-0.04833,-0.05211,-0.13473,-0.00287,-0.0013,-0.00064,-0.0042,-0.00002,6.27447,-0.00565,0.00001,0.15184,0.00005,-0.00434,-0.00211,-0.19943,66.16341,11.03774,4.02454,-3.6078,-18.90942,661.539,-0.00565,707.1,0.72
1.8,-1.2,497021.4303,4193366.444,14.96612603,37.88779628,-0.13045,-0.04833,-0.05211,-0.13473,-0.00287,-0.0013,-0.00064,-0.0042,-0.00002,6.27447,-0.00565,0.00001,0.15184,0.00005,-0.00434,-0.00211,-0.19943,66.16341,11.03774,4.02454,-3.6078,-18.90942,661.539,-0.00565,706.3,0.76
-3.7,-14.4,497087.7178,4193378.491,14.96687984,37.88790508,-0.07101,-0.13309,-0.06496,-0.08117,-0.00176,-0.00044,-0.00017,-0.00332,0,6.01368,-0.00328,0,0.05242,0.00012,-0.00284,-0.00146,-0.06269,65.98437,11.03503,1.23776,-3.18675,-112.70454,659.799,-0.00328,705.4,0.74
-4.4,-19.3,497088.7642,4193378.683,14.96689174,37.88790681,-0.07101,-0.13309,-0.06496,-0.08117,-0.00176,-0.00044,-0.00017,-0.00332,0,6.01368,-0.00328,0,0.05242,0.00012,-0.00284,-0.00146,-0.06269,65.98437,11.03503,1.23776,-3.18675,-112.70454,659.799,-0.00328,704.7,0.71
0.5,-3.3,496960.9252,4193357.544,14.96543797,37.88771587,-0.03403,-0.01218,-0.03151,-0.00226,-0.00066,-0.00014,-0.00022,-0.00198,-0.00001,0.26077,-0.00007,0,0.11191,0.00063,0.00007,0.00019,-0.0127,66.43927,11.0419,2.77039,-2.39914,-223.53139,664.4,-0.00007,708.7,0.77
0.7,-6.9,496997.1051,4193364.119,14.9658494,37.88777525,-0.11218,-0.0346,-0.04877,-0.08595,-0.00168,-0.0017,-0.001,-0.00716,-0.00002,0.21317,-0.00351,0,0.13976,-0.00008,-0.00181,-0.00073,-0.16195,66.19165,1.6859,3.60036,-3.58973,762.85431,661.866,-0.00351,708.2,0.71
1.6,-2.8,497019.5501,4193368.201,14.96610464,37.88781211,-0.12851,-0.13141,-0.09845,-0.20223,-0.0045,-0.00086,-0.00044,-0.00472,0,0.0459,-0.00839,0.00001,0.09337,0.00031,-0.00753,-0.0037,-0.11024,66.03201,6.60577,2.6179,-4.40202,5.54206,660.147,-0.00839,706.7,0.77
2.2,-0.9,497020.4892,4193368.374,14.96611532,37.88781367,-0.12851,-0.13141,-0.09845,-0.20223,-0.0045,-0.00086,-0.00044,-0.00472,0,0.0459,-0.00839,0.00001,0.09337,0.00031,-0.00753,-0.0037,-0.11024,66.03201,6.60577,2.6179,-4.40202,5.54206,660.147,-0.00839,705.9,0.76
2.6,0.5,497036.8446,4193371.343,14.96630131,37.88784049,-0.12571,-0.14512,-0.07658,-0.19934,-0.00536,0.00042,0.0002,0.00191,-0.00001,0.04033,-0.00831,0.00002,0.10414,0.0012,-0.00873,-0.00428,-0.11216,66.0299,3.84689,2.76006,-4.09408,87.45975,660.132,-0.00831,707.3,0.69
-1.7,0.2,497050.4396,4193373.814,14.96645591,37.8878628,-0.13475,-0.18678,-0.08015,-0.2279,-0.00557,-0.00031,-0.00016,-0.00148,0,0.04858,-0.00957,0.00002,0.10517,0.00079,-0.00926,-0.00455,-0.11525,66.02337,3.42992,2.80418,-3.97569,132.68211,660.048,-0.00957,706.8,0.66
-1.8,-3.1,497051.2011,4193373.954,14.96646457,37.88786407,-0.13475,-0.18678,-0.08015,-0.2279,-0.00557,-0.00031,-0.00016,-0.00148,0,0.04858,-0.00957,0.00002,0.10517,0.00079,-0.00926,-0.00455,-0.11525,66.02337,3.42992,2.80418,-3.97569,132.68211,660.048,-0.00957,705.9,0.71
0.3,-4.6,496996.8693,4193366.177,14.96584671,37.88779379,-0.11218,-0.0346,-0.04877,-0.08595,-0.00168,-0.0017,-0.001,-0.00716,-0.00002,0.21317,-0.00351,0,0.13976,-0.00008,-0.00181,-0.00073,-0.16195,66.19165,1.6859,3.60036,-3.58973,762.85431,661.866,-0.00351,708.3,0.71
-0.4,-9,497018.7858,4193370.162,14.96609594,37.88782978,-0.12851,-0.13141,-0.09845,-0.20223,-0.0045,-0.00086,-0.00044,-0.00472,0,0.0459,-0.00839,0.00001,0.09337,0.00031,-0.00753,-0.0037,-0.11024,66.03201,6.60577,2.6179,-4.40202,5.54206,660.147,-0.00839,706.4,0.67
3.5,4.1,497036.177,4193373.321,14.96629371,37.88785831,-0.12571,-0.14512,-0.07658,-0.19934,-0.00536,0.00042,0.0002,0.00191,-0.00001,0.04033,-0.00831,0.00002,0.10414,0.0012,-0.00873,-0.00428,-0.11216,66.0299,3.84689,2.76006,-4.09408,87.45975,660.132,-0.00831,707.1,0.75
